,label,depth,height,width,quantity,개선 후,depth,height,width,quantity
1번 사진(36.png),AUTOMATIC_WASHER,205.1,558.6,656.2,3,,894.5,687.5,660.2,1
,CURTAIN,279.3,339.8,468.8,1,,949.2,108.9,474.6,1
,MIRROR,330.1,225.6,213.9,1,,921.9,726.6,66.4,1
,SHELF,263.7,326.2,192.4,2,,847.7,671.9,312.5,2
,WASHER_DRYER,151.4,451.2,933.6,1,,968.8,730.5,668,1
,,,,,,,,,,
2번 사진(33.png),BED,431.6,1117.2,2312.5,1,,1054.7,2093.8,1867.2,1
,LAMP,136.7,1085.9,1515.6,1,,1070.3,462.9,488.3,1
,PILLOW,189.5,462.9,1054.7,2,,229.5,398.4,691.4,2
,PLANT,125,894.5,1437.5,1,,1171.9,585.9,636.7,1
,,,,,,,,,,
3번 사진(35.png),BED,287.1,378.9,263.7,1,,543,652.3,894.5,1
,CHAIR,718.8,410.2,431.6,2,,929.7,431.6,503.9,2
,CURTAIN,287.1,644.5,824.2,2,,2453.1,161.1,248,2
,CUSHION,259.8,222.7,378.9,1,,57.4,339.8,357.4,1
,DESK,235.4,271.5,200.2,1,,52,197.3,210.9,1
,FLOWERPOT,225.6,155.3,210.9,1,,146.5,121.6,200.2,1
,LAMP,507.8,695.3,1156.2,2,,1195.3,621.1,656.2,2
,LANTERN,468.8,462.9,859.4,1,,1085.9,582,660.2,1
,PAINTING,163.1,808.6,1156.2,1,,906.2,50,867.2,1
,STOOL,445.3,208,294.9,1,,480.5,275.4,326.2,1
,TABLE,687.5,765.6,968.8,2,,796.9,1093.8,1078.1,2
,TABLE_LAMP,259.8,640.6,632.8,1,,707,451.2,347.7,1
,,,,,,,,,,
4번 사진(31.png),BED,683.6,1328.1,2140.6,1,,1375,2390.6,2046.9,1
,CURTAIN,225.6,1437.5,2328.1,1,,2328.1,462.9,166,1
,DRAWER,161.1,347.7,757.8,2,,153.3,312.5,388.7,2
,DRESSER,222.7,494.1,906.2,1,,593.8,437.5,558.6,1
,FAN,125,203.1,339.8,1,,269.5,159.2,176.8,1
,HEADBOARD,169.9,1484.4,1625,1,,570.3,468.8,1460.9,1
,LAMP,125,291,462.9,3,,210.9,159.2,174.8,3
,PILLOW,146.5,468.8,960.9,3,,388.7,242.2,597.7,3
,STOOL,109.9,294.9,488.3,1,,334,357.4,174.8,1
,TV,101.1,1851.6,1320.3,1,,687.5,1406.2,146.5,1
,VASE,114.3,304.7,462.9,1,,176.8,134.8,134.8,1
